Output format is aligned.
     schemaname      |         table_name          |                      index_name                       | idx_scan | idx_tup_read | idx_tup_fetch | index_size 
                                                                                                                                                                                                                                                                                                                                                                                                    query                                                                                                                                                                                                                                                                                                                                                                                                    | calls | total_ms | avg_ms 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------+--------
 SELECT public.refresh_integration_views()                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |    69 |  4380.46 |  63.48
 -- Crear items para las nuevas requisiciones                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               +|     1 |   252.19 | 252.19
 WITH new_reqs AS (                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         +|       |          | 
     SELECT r.id as req_id, r.company_id                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    +|       |          | 
     FROM requisitions r                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    +|       |          | 
     WHERE r.id NOT IN (SELECT DISTINCT requisition_id FROM requisition_items)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              +|       |          | 
     LIMIT $1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               +|       |          | 
 ),                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         +|       |          | 
 product_list AS (                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          +|       |          | 
